source,target,weight,match,type
Number Juan Doto Player,Terpcasl,2,4005,Directed
K.Y,Gates,1,4006,Directed
K.Y,confessor,1,4006,Directed
Snipe Desu~,Midnight,4,4009,Directed
Caped Baldy,Heisenberg,4,4010,Directed
TINKLES,Black Jesus,1,4012,Directed
TINKLES,Flash,1,4012,Directed
Charizard,Pizza Dog,1,4036,Directed
-=]BG[=-^~.:$InG]-[:. #Baawt,.,1,4041,Directed
Do --,Madness,1,4064,Directed
Slam,Fury,2,4065,Directed
Slam,Osis,2,4065,Directed
S A D B O Y,石原さとみ,1,4080,Directed
CooKiE?,Vegeta,4,4092,Directed
BeezyDota,Miley,1,4094,Directed
Hope,ausoi,1,4098,Directed
K.Y,Gates,2,4100,Directed
K.Y,hehe,2,4100,Directed
Alone,Ori,13,4102,Directed
Clueless,Keyser Soze,2,4108,Directed
Kpkz,SiR,2,4116,Directed
Kpkz,Tick Tock,2,4116,Directed
HULK,TinkerBell,4,4121,Directed
Weaboo,Saber,2,4124,Directed
Weaboo,You're*,2,4124,Directed
Terpcasl,Fookenprawn,1,4147,Directed
Terpcasl,Number Juan Doto Player,1,4147,Directed
Terpcasl,Waterloo.ShakTi.YG,1,4147,Directed
KappaPride,Hard Mode,1,4148,Directed
Shade,Omega,2,4151,Directed
Shade,TBD,2,4151,Directed
Spooderman,A Wild Smurf,1,4159,Directed
Spooderman,Memories,1,4159,Directed
John Cena,????,1,4170,Directed
Angry Nikolai,Times_red,3,4181,Directed
Hansi,EXCLUSIVE,2,4184,Directed
Hansi,Niklaus,2,4184,Directed
Carlos,zzz,2,4200,Directed
.W,Frost,1,4207,Directed
.W,OnePunchMan,1,4207,Directed
Alex,Fly,2,4215,Directed
ATC,Mr Susan,1,4217,Directed
Greed,322,2,4236,Directed
HULK,TinkerBell,2,4237,Directed
ShutUp,Mango,1,4245,Directed
Wintermute,HwaN,1,4266,Directed
Standin.ragha,Defensif^,1,4279,Directed
ndlz,Feelsbadman,1,4285,Directed
.W,OnePunchMan,1,4290,Directed
.W,Roronoa Zoro,1,4290,Directed
@KossDota,RoyalS.Call me maybe,4,4292,Directed
The Wanderer,:),2,4297,Directed
Eosin,ATC,3,4299,Directed
Eosin,Broken Man,3,4299,Directed
Chi Long Qua,Dictionaries,2,4302,Directed
Angry Nikolai,Times_red,2,4314,Directed
HULK,-_-,3,4318,Directed
HULK,TinkerBell,3,4318,Directed
??,Skayl,1,4328,Directed
Pepe Investor,X,4,4331,Directed
Goku,Little Do You Know,1,4339,Directed
"(have fun, pal)",??,2,4344,Directed
"(have fun, pal)",?????,2,4344,Directed
Shacklz,Sunshine,1,4348,Directed
sojtucker,...,1,4359,Directed
