source,target,weight,match,type
BuRN,PANDA,2,4774,Directed
Sara :),MrMkay,1,4785,Directed
Mayhem,@builder_247,8,4802,Directed
bourgeoisie,Saltz,1,4839,Directed
Recovery,Andy,1,4869,Directed
Recovery,Zeeks,1,4869,Directed
JOHN HITLER,King Wizard,2,4915,Directed
Flipt,13,1,4925,Directed
L30N,Mango,1,4940,Directed
Ya,Ace,1,4963,Directed
Ya,`Blurry Eyes,1,4963,Directed
YOLO,rKaiser,1,5063,Directed
Up-iN*tHe.AiR,Derp Derp,2,5064,Directed
Up-iN*tHe.AiR,Ragnar,2,5064,Directed
pitzuuu,17,1,5090,Directed
pitzuuu,Mr. Meeseeks,1,5090,Directed
leviosaw,GGWP,1,5132,Directed
Hero,nitoma,1,5142,Directed
Sartre,LOL,1,5161,Directed
Player,M,1,5211,Directed
Player,WaaDaaFaak!?,1,5211,Directed
Player,X,1,5211,Directed
Derp Derp,Ragnar,1,5239,Directed
Derp Derp,Up-iN*tHe.AiR,1,5239,Directed
Ice.in.your.eyeS,3^!|,1,5248,Directed
Sartre,123,1,5295,Directed
King Wizard,JOHN HITLER,4,5314,Directed
MingLee,qwe,1,5333,Directed
111,???,1,5338,Directed
Сын Собаки,Kaiser,2,5388,Directed
ХЭЙ КАППА КАППА Х,The Boy,1,5394,Directed
400 Million Beli Man,Rick Sanchez,8,5397,Directed
Shady,Fox,2,5418,Directed
Diskover,Water,1,5425,Directed
???????,Saitama,1,5430,Directed
???????,Salo,1,5430,Directed
Ѵirtualghost,Baba Yaga,1,5474,Directed
Ѵirtualghost,Dragnipur,1,5474,Directed
Kira,< blank >,2,5486,Directed
Vincent,Captain Puppan,2,5497,Directed
I AM GROOT,Escherichia Coli,1,5531,Directed
I AM GROOT,Pika,1,5531,Directed
.,WaaDaaFaak!?,1,5552,Directed
<123>,Joelft,1,5554,Directed
Floki,Gucci MagiK,2,5569,Directed
King Kunta,The Angler,1,5588,Directed
leviosaw,Jack Sparrow,1,5589,Directed
Miley,jd,4,5621,Directed
Michael,Ravushimo,2,5622,Directed
Xcalibur,fohu,1,5635,Directed
Zeenix,Rockstah,1,5647,Directed
Cheese,Zimzo,2,5649,Directed
Dr.Sexy,Slam,5,5652,Directed
Warrior,Hugs from Jewland,1,5689,Directed
HAL-9000,.,1,5692,Directed
HAL-9000,Red,1,5692,Directed
P5 - Minimax,G. R. T.,1,5701,Directed
Zokhem,SLAM,1,5707,Directed
"28 aint enough, you need more",Keyboard Warrior,1,5709,Directed
Karl,SSF,1,5710,Directed
RollarN^,Lars-Olof,1,5711,Directed
dream is ded,LOVE-is-EZ but I hate you,2,5772,Directed
Drake,KingJonesGaming,3,5811,Directed
Drake,Saltz,3,5811,Directed
Drake,bourgeoisie,3,5811,Directed
[DG]Hoppen,...,1,5821,Directed
Plata O Plomo,Ice,1,5828,Directed
Dota 2 Psychologist,Do --,1,5830,Directed
Slayer,Diskover,1,5840,Directed
JasCaLL,Varian Wrynn,2,5855,Directed
gohanaragorn,322,3,5887,Directed
..,topsu,1,5925,Directed
Jesus,Balanced Disco Pony,5,5960,Directed
Keyser Soze,FeelTheBern,1,5991,Directed
Van Dyke Brown,RIP BOB - I BELIEVE!,1,6002,Directed
gg,Gerrow,2,6005,Directed
Mastersheep,[siQ] DRUNKEN-MASTER,3,6020,Directed
Peter,Alexander,1,6052,Directed
#U,I'am,1,6061,Directed
P5 - Minimax,G. R. T.,1,6065,Directed
Rigby,Ho랑이,1,6083,Directed
Yolo,deranzo,1,6135,Directed
Smitty Werben ¯\_(ツ)_/¯,....,1,6141,Directed
Smitty Werben ¯\_(ツ)_/¯,123,1,6141,Directed
Smitty Werben ¯\_(ツ)_/¯,Pingu ( ' v ' ),1,6141,Directed
MrMkay,Sara :),1,6147,Directed
MrMkay,noname,1,6147,Directed
400 Million Beli Man,< blank >,1,6164,Directed
Dindender,Anomander Rake,1,6184,Directed
Mid or Feed,D.,3,6190,Directed
Mid or Feed,Porky's Butthole,3,6190,Directed
General Stonewall Jukeson,JukeGyllenhaal,1,6195,Directed
General Stonewall Jukeson,JukeSkywalker,1,6195,Directed
General Stonewall Jukeson,Martin Luther King Juker,1,6195,Directed
see me now,Jason,1,6198,Directed
Hubcap,Penguin,1,6223,Directed
???????,?????????,2,6238,Directed
???????,Shanks,2,6238,Directed
taYtaY,Rick,1,6248,Directed
taYtaY,a Family Man,1,6248,Directed
lungs,Miracle,2,6263,Directed
Morty,NAES,1,6264,Directed
Morty,scrub,1,6264,Directed
DIabOluS,Hero,1,6277,Directed
DIabOluS,P O T A T O,1,6277,Directed
Azrael,BigBoss,1,6289,Directed
Moose,#U,5,6295,Directed
Moose,Anonymous,5,6295,Directed
Moose,Saitama,5,6295,Directed
xD,Little Do You Know,1,6327,Directed
Mr_spoon,Pornochicken,1,6347,Directed
.,Isoboy,2,6353,Directed
.,Roronoa Zoro,2,6353,Directed
Davy Jones,BABYRAGE,3,6354,Directed
Davy Jones,qwe,3,6354,Directed
twitch.tv/HaroldAgas17,MID OR FEED,1,6380,Directed
Dota 2 Psychologist,Carnage,1,6383,Directed
Dota 2 Psychologist,cc,1,6383,Directed
.,Tahurtz,1,6398,Directed
.,"all muted, stealing mid, helo",1,6423,Directed
Sindor,Kirito,1,6434,Directed
Dark,TB.Thành Lê,2,6475,Directed
Rob,Tom,1,6478,Directed
Bassie,YO | Fluffy Kitten,1,6493,Directed
< blank >,SP,1,6496,Directed
King Wizard,JOHN HITLER,2,6498,Directed
asdf,see me now,1,6542,Directed
^_^,mARLEY.sAMA ´,2,6543,Directed
#U,『　　』,1,6553,Directed
S A D B O Y,Meow,6,6559,Directed
Style,Jason,3,6568,Directed
Jax,Jon Snow,2,6581,Directed
Slick Rick,Matsuoka Rin,1,6611,Directed
Rob,????,1,6616,Directed
Rob,??????,1,6616,Directed
Rob,Tom,1,6616,Directed
ITS BLACK THUNDERRRRRRRR,SLAM,2,6624,Directed
ITS BLACK THUNDERRRRRRRR,Zokhem,2,6624,Directed
Krisyboi,XTripleJaxX,1,6634,Directed
gohanaragorn,lmao,1,6648,Directed
Light of Darkness,|||||||||||||||||||||||||||||||,1,6649,Directed
Do --,FeelsBadMan,1,6653,Directed
Assassin,< blank >,3,6654,Directed
Assassin,tehdilgerer,3,6654,Directed
gypsyfy,robottaway,1,6657,Directed
Bob Ross,CHI LONG QUA,1,6674,Directed
JOHN HITLER,King Wizard,9,6682,Directed
onomatopoeia,Nico,1,6687,Directed
B-Rabbit,Pablo,3,6734,Directed
Coco,King,1,6750,Directed
Kitty,kadal_kutub,3,6765,Directed
Barack Obama,Kappa,1,6767,Directed
Barack Obama,hG.IntrinsiC,1,6767,Directed
Skye,JM,1,6772,Directed
RebirthofLeGenD,John,1,6794,Directed
RebirthofLeGenD,grillz,1,6794,Directed
Matsuoka Rin,Butthole,3,6802,Directed
Cookie Monster,Plata O Plomo,1,6838,Directed
XTripleJaxX,._.,2,6858,Directed
XTripleJaxX,Krisyboi,2,6858,Directed
cskalias,yoonie,1,6864,Directed
333,Error,1,6875,Directed
333,Moist,1,6875,Directed
333,Van Dyke Brown,1,6875,Directed
Hashirama,Agressif,2,6887,Directed
Arteezy,angular_JS,1,6904,Directed
J.S. Bach,aheyman,1,6907,Directed
ITS BLACK THUNDERRRRRRRR,SLAM,1,6928,Directed
ITS BLACK THUNDERRRRRRRR,Zokhem,1,6928,Directed
gohanaragorn,RoyalS.Call me maybe,1,6938,Directed
psitle,Zimzo,2,6947,Directed
Pourosis,Milk,2,6955,Directed
"28 aint enough, you need more",Keyboard Warrior,1,6961,Directed
NotLikeThis,Bob,1,6962,Directed
NotLikeThis,Naylor,1,6962,Directed
1738,Reaper,1,6963,Directed
Chaos,TheBenGerman,4,6989,Directed
Red,PsyDuck,1,6992,Directed
Red,SOMETIMES,1,6992,Directed
PaLiTRoQuE,El lechero,2,6994,Directed
soy papá,Huh?,4,6998,Directed
He|ìx`,Matsuoka Rin,9,7001,Directed
12,Redemption,1,7007,Directed
KOSOVA,S.T.Y.L.E.,1,7011,Directed
620,aTly,4,7022,Directed
620,ベル마Jemo-왕ゼブブ,4,7022,Directed
Ruka Kanae is <3,< blank >,1,7037,Directed
Bubbles,jaynanners,1,7042,Directed
JohnDoe,GenghisLOL,1,7062,Directed
Sentinel,cskalias,1,7105,Directed
Hakuna Matata,Rizwanovich,1,7120,Directed
xd,Black Jesus,2,7122,Directed
xd,random,2,7122,Directed
MangoCrysis™,Proto,1,7142,Directed
FeelsBadMan,popo,2,7156,Directed
Miley,jd,1,7159,Directed
Make Your Dreams Come True,123,1,7160,Directed
Returns to nothing,Vladimir Putin,1,7161,Directed
Atomicmonk,Vladimir Putin,2,7175,Directed
Still ШṙȧϮЋ #PateHinoys,Sloth,1,7180,Directed
jaynanners,Bubbles,7,7207,Directed
jaynanners,mURSAful,7,7207,Directed
Danny,He|ìx`,1,7212,Directed
gg,TZA Da God,1,7217,Directed
Huh?,.,1,7220,Directed
Huh?,Flame,1,7220,Directed
RIP BOB - I BELIEVE!,Van Dyke Brown,3,7232,Directed
deuterium,Bloogles,1,7250,Directed
Butthole,kld,1,7265,Directed
JohnDoe,GenghisLOL,2,7267,Directed
JohnDoe,Nijbu,2,7267,Directed
CC&C,Tensaiくず ! misery god,1,7269,Directed
CC&C,confessor,1,7269,Directed
M,wλrthen,1,7275,Directed
Deodorant spray,1,1,7278,Directed
Je'W. DangerousDan,Je'W.Danny Dorito,2,7280,Directed
"<font face=""impact"">SALTEW",The Psychotic Snivy,3,7290,Directed
bourgeoisie,KingJonesGaming,4,7349,Directed
bourgeoisie,Max Tryhard,4,7349,Directed
N A,James,1,7407,Directed
Nek-Ro-Sin,Aquafina,2,7408,Directed
dez,RoyalS.Call me maybe,1,7423,Directed
Fuuzzie,Kenny,1,7427,Directed
noob :3,4Head,2,7461,Directed
J.S. Bach,aheyman,1,7471,Directed
JC,[EE's Disciple],2,7477,Directed
deuterium,Bloogles,1,7504,Directed
jd,Miley,1,7514,Directed
aTly,620,2,7534,Directed
????????,NotLikeThis,1,7537,Directed
Ren,Joelft,1,7574,Directed
Ahov,Mr. Meeseeks,5,7585,Directed
Fuuzzie,Ragnar,2,7604,Directed
Maestro,DTN,2,7615,Directed
yoonie,cskalias,1,7624,Directed
????,chayci,1,7663,Directed
jd,Miley,3,7679,Directed
Black Jesus,nicenicenice,4,7686,Directed
kang gorengan,kang somay,2,7730,Directed
A N D R E W  S A L A D,psitle,1,7735,Directed
.......,Bob,1,7766,Directed
.......,enenlove ツ,1,7766,Directed
Still ШṙȧϮЋ #PateHinoys,Sloth,2,7771,Directed
Mach,gg,2,7823,Directed
Mach,¯\_(ツ)_/¯,2,7823,Directed
321,Csanszi,2,7827,Directed
a winner,Fantini's Fantasy,1,7886,Directed
....,A N D R E W  S A L A D,10,7910,Directed
....,psitle,10,7910,Directed
Dr.X,< blank >,2,7917,Directed
A Wild Smurf,Memories,1,7918,Directed
A Wild Smurf,Spooderman,1,7918,Directed
Nek-Ro-Sin,atreides,2,7938,Directed
Maiku Mori,^^,2,7945,Directed
SiR,Icarus-,4,7953,Directed
Bloop,soy papá,1,7963,Directed
zxc,Radix,1,7993,Directed
Sleeping_[D]og,Hyy,1,7996,Directed
Sleeping_[D]og,Lặng Lẽ Tổn Thương,1,7996,Directed
Sleeping_[D]og,bwew,1,7996,Directed
Scrotes,GenghisLOL,1,8001,Directed
Scrotes,JohnDoe,1,8001,Directed
MIE,baba,1,8002,Directed
Mayhem,Oli the Optimist,1,8014,Directed
theo,Dauntasa,4,8020,Directed
theo,MM,4,8020,Directed
tunymai,Rizzrack,2,8041,Directed
tunymai,lord.ary,2,8041,Directed
Rick,Azrael,1,8078,Directed
Rick,Faronel,1,8078,Directed
JohnDoe,GenghisLOL,1,8081,Directed
HorseFeeder,K P A C U B O,1,8087,Directed
David,gigabotan,1,8129,Directed
Make Your Dreams Come True,Bloop,1,8160,Directed
Make Your Dreams Come True,JMT,1,8160,Directed
XD,yolo,6,8171,Directed
JMT,Bloop,2,8216,Directed
JMT,Nigga,2,8216,Directed
HolyMoly -QsQ-,??,1,8226,Directed
Dondo,J.R.,1,8250,Directed
beaverknight,Dendi,1,8275,Directed
ice,Hiruma,1,8285,Directed
620,aTly,1,8293,Directed
LoveAV road to 6k,Icarus-,1,8295,Directed
